date,day,time,stadium,home,away,cancelled,reason,note,stadium_id
2023-09-02,토,14:00,잠실,3LG,한화5,False,정상진행,-,
2023-09-03,일,14:00,잠실,3LG,한화5,False,정상진행,-,
2023-09-08,금,18:30,잠실,8두산,삼성7,False,정상진행,-,
2023-09-09,토,14:00,잠실,1두산,삼성5,False,정상진행,-,
2023-09-10,일,14:00,잠실,8두산,삼성2,False,정상진행,-,
2023-09-12,화,18:30,잠실,8두산,한화3,False,정상진행,-,
2023-09-13,수,18:30,잠실,두산,SSG,True,우천취소,우천취소,
2023-09-14,목,18:30,잠실,3두산,SSG2,False,정상진행,-,
2023-09-23,토,17:00,잠실,3LG,한화1,False,정상진행,-,
2023-09-24,일,14:00,잠실,5LG,한화1,False,정상진행,-,
2023-09-28,목,17:00,잠실,1LG,삼성11,False,정상진행,-,
2023-09-29,금,14:00,잠실,4두산,LG3,False,정상진행,-,
2023-09-30,토,14:00,잠실,3두산,LG1,False,정상진행,-,
2023-10-03,화,14:00,잠실,5두산,키움6,False,정상진행,-,
2023-10-06,금,18:30,잠실,2LG,KIA3,False,정상진행,-,
2023-10-07,토,17:00,잠실,3두산,롯데6,False,정상진행,-,
2023-10-08,일,14:00,잠실,2두산,롯데1,False,정상진행,-,
2023-10-09,월,14:00,잠실,1LG,롯데8,False,정상진행,-,
2023-10-10,화,18:30,잠실,7LG,롯데0,False,정상진행,-,
2023-10-12,목,18:30,잠실,11두산,NC1,False,정상진행,-,
2023-10-13,금,18:30,잠실,3두산,KIA1,False,정상진행,-,
2024-03-23,토,14:00,잠실,8LG,한화2,False,정상진행,-,
2024-03-24,일,14:00,잠실,4LG,한화8,False,정상진행,-,
2024-03-26,화,18:30,잠실,4LG,삼성3,False,정상진행,-,
2024-03-27,수,18:30,잠실,2LG,삼성2,False,정상진행,-,
